Title,Director,Budget (INR Crores),Duration (mins),Genre
Prince of Persia: the Sands of Time,Mike Newell,1660.0,116,Action
Diary of a Wimpy Kid,Thor Freudenthal,124.5,120,Animation
Never Let Me Go,Mark Romanek,124.5,103,Drama
Predators,NimrÃ³d Antal,332.0,107,Action
Buried,Rodrigo CortÃ©s,24.9,95,Drama
Legion,Scott Stewart,215.8,100,Action
Remember Me,Allen Coulter,132.8,113,Drama
Jonah Hex,Jimmy Hayward,390.1,81,Action
Salt,Phillip Noyce,913.0,100,Action
Morning Glory,Roger Michell,332.0,107,Comedy
Winter's Bone,Debra Granik,16.6,100,Drama
A Nightmare on Elm Street,Samuel Bayer,290.5,95,Crime
Resident Evil: Afterlife,Paul W.S. Anderson,498.0,96,Action
Takers,John Luessenhop,265.6,107,Action
The Way Back,Peter Weir,249.0,133,Adventure
Killers,Robert Luketic,622.5,100,Action
Due Date,Todd Phillips,539.5,95,Comedy
Devil,John Erick Dowdle,83.0,80,Horror
Green Zone,Paul Greengrass,830.0,115,Action
Faster,George Tillman Jr.,199.2,98,Action
Super,James Gunn,20.75,96,Action
It's Kind of a Funny Story,Anna Boden,66.4,101,Comedy
The Crazies,Breck Eisner,166.0,101,Horror
Shrek Forever After,Mike Mitchell,1369.5,93,Animation
The Chronicles of Narnia: the Voyage of the Dawn Treader,Michael Apted,1286.5,113,Adventure
Let Me In,Matt Reeves,166.0,116,Drama
The Kids Are All Right,Lisa Cholodenko,33.2,106,Comedy
Date Night,Shawn Levy,456.5,88,Comedy
Leap Year,Anand Tucker,157.7,100,Comedy
Little Fockers,Paul Weitz,830.0,98,Comedy
The Runaways,Floria Sigismondi,83.0,106,Biography
The Sorcerer's Apprentice,Jon Turteltaub,1245.0,109,Action
MacGruber,Jorma Taccone,83.0,90,Action
The Ghost Writer,Roman Polanski,373.5,128,Crime
Skyline,Colin Strause,83.0,92,Action
Edge of Darkness,Martin Campbell,664.0,117,Action
Ramona and Beezus,Elizabeth Allen Rosenbaum,124.5,103,Comedy
Valentine's Day,Garry Marshall,431.6,125,Comedy
Letters to Juliet,Gary Winick,249.0,105,Adventure
Dear John,Lasse HallstrÃ¶m,207.5,108,Drama
Get Him to the Greek,Nicholas Stoller,332.0,109,Comedy
Dinner for Schmucks,Jay Roach,572.7,114,Comedy
How Do You Know,James L. Brooks,996.0,121,Comedy
The Secret World of Arrietty,Hiromasa Yonebayashi,190.9,94,Animation
Gulliver's Travels,Rob Letterman,929.6,85,Adventure
Tooth Fairy,Michael Lembeck,398.4,101,Comedy
The Switch,Josh Gordon,157.7,101,Comedy
Step Up,Jon M. Chu,249.0,107,Drama
Wall Street: Money Never Sleeps,Oliver Stone,581.0,133,Drama
The Last Song,Julie Anne Robinson,166.0,107,Drama
Cop Out,Kevin Smith,249.0,107,Action
Rubber,Quentin Dupieux,4.15,82,Comedy
You Again,Andy Fickman,166.0,105,Comedy
The Bounty Hunter,Andy Tennant,332.0,110,Action
From Paris with Love,Pierre Morel,431.6,92,Action
13 Assassins,Takashi Miike,49.8,141,Action
Nanny McPhee Returns,Susanna White,290.5,109,Comedy
Wild Target,Jonathan Lynn,66.4,98,Action
When in Rome,Mark Steven Johnson,456.5,91,Comedy
Going the Distance,Nanette Burstein,265.6,102,Comedy
Somewhere,Sofia Coppola,58.1,97,Comedy
Secretariat,Randall Wallace,290.5,123,Biography
Death at a Funeral,Neil LaBute,174.3,92,Comedy
The Spy Next Door,Brian Levant,232.4,94,Action
Hereafter,Clint Eastwood,415.0,129,Drama
Repo Men,Miguel Sapochnik,265.6,111,Action
Vampires Suck,Jason Friedberg,166.0,82,Comedy
Twelve,Joel Schumacher,41.5,93,Action
Beginners,Mike Mills,26.56,105,Comedy
Legend of the Guardians: the Owls of Ga'Hoole,Zack Snyder,664.0,97,Animation
Rabbit Hole,John Cameron Mitchell,41.5,91,Drama
Meek's Cutoff,Kelly Reichardt,16.6,104,Adventure
Conviction,Tony Goldwyn,103.75,107,Biography
Trust,David Schwimmer,33.2,106,Crime
My Name Is Khan,Karan Johar,99.6,165,Drama
The Company Men,John Wells,124.5,104,Drama
Cyrus,Jay Duplass,58.1,91,Comedy
Paranormal Activity 2,Tod Williams,24.9,91,Horror
The Killer Inside Me,Michael Winterbottom,107.9,109,Crime
The Extra Man,Shari Springer Berman,58.1,108,Comedy
Stone,John Curran,182.6,105,Drama
Why Did I Get Married Too?,Tyler Perry,166.0,121,Comedy
The Last Exorcism,Daniel Stamm,14.94,87,Horror
Dirty Girl,Abe Sylvia,33.2,90,Comedy
London Boulevard,William Monahan,207.5,103,Crime
Fair Game,Doug Liman,182.6,108,Biography
The Back-up Plan,Alan Poul,290.5,104,Comedy
Don't Be Afraid of the Dark,Troy Nixey,207.5,99,Fantasy
Country Strong,Shana Feste,124.5,117,Drama
Charlie St. Cloud,Burr Steers,365.2,99,Drama
Stake Land,Jim Mickle,5.39,98,Drama
Vanishing on 7th Street,Brad Anderson,83.0,92,Horror
Barney's Version,Richard J. Lewis,249.0,134,Comedy
You Will Meet a Tall Dark Stranger,Woody Allen,182.6,98,Comedy
The Conspirator,Robert Redford,207.5,122,Crime
Furry Vengeance,Roger Kumble,290.5,92,Comedy
The Tempest,Julie Taymor,166.0,110,Comedy
Henry's Crime,Malcolm Venville,99.6,108,Comedy
Extraordinary Measures,Tom Vaughan,257.3,106,Drama
Yogi Bear,Eric Brevig,664.0,80,Animation
My Soul to Take,Wes Craven,207.5,107,Horror
The Warrior's Way,Sngmoo Lee,348.6,100,Action
Hatchet II,Adam Green,6.64,85,Action
Hesher,Spencer Susser,58.1,106,Drama
For Colored Girls,Tyler Perry,174.3,133,Drama
The Perfect Host,Nick Tomnay,4.15,93,Comedy
Love Ranch,Taylor Hackford,207.5,117,Biography
Passion Play,Mitch Glazer,66.4,94,Drama
Everything Must Go,Dan Rush,41.5,97,Drama
Captain America: the First Avenger,Joe Johnston,1162.0,124,Action
Thor,Kenneth Branagh,1245.0,115,Action
Harry Potter and the Deathly Hallows: Part 2,David Yates,1037.5,130,Adventure
Take Shelter,Jeff Nichols,41.5,120,Drama
Bridesmaids,Paul Feig,269.75,125,Comedy
Fast Five,Justin Lin,1037.5,130,Action
Midnight in Paris,Woody Allen,141.1,94,Comedy
Moneyball,Bennett Miller,415.0,133,Biography
The Girl with the Dragon Tattoo,David Fincher,747.0,158,Crime
Just Go with It,Dennis Dugan,664.0,117,Comedy
Drive,Nicolas Winding Refn,124.5,100,Crime
Green Lantern,Martin Campbell,1660.0,114,Action
The Cabin in the Woods,Drew Goddard,249.0,95,Horror
The Help,Tate Taylor,207.5,146,Drama
"Crazy, Stupid, Love.",Glenn Ficarra,415.0,118,Comedy
No Strings Attached,Ivan Reitman,207.5,108,Comedy
Pirates of the Caribbean: on Stranger Tides,Rob Marshall,2075.0,136,Action
Sucker Punch,Zack Snyder,680.6,110,Action
Warrior,Gavin O'Connor,207.5,140,Action
Kung Fu Panda 2,Jennifer Yuh Nelson,1245.0,90,Animation
Friends with Benefits,Will Gluck,290.5,109,Comedy
Immortals,Tarsem Singh,622.5,110,Action
X-Men: First Class,Matthew Vaughn,1328.0,131,Action
Contagion,Steven Soderbergh,498.0,106,Drama
Bad Teacher,Jake Kasdan,166.0,92,Comedy
In Time,Andrew Niccol,332.0,109,Action
One Day,Lone Scherfig,124.5,107,Drama
Scream 4,Wes Craven,332.0,111,Horror
Shame,Steve McQueen,53.95,101,Drama
Mission: Impossible - Ghost Protocol,Brad Bird,1203.5,132,Action
Super 8,J.J. Abrams,415.0,112,Mystery
We Need to Talk About Kevin,Lynne Ramsay,58.1,112,Drama
Limitless,Neil Burger,224.1,105,Sci-Fi
Unknown,Jaume Collet-Serra,249.0,113,Action
Transformers: Dark of the Moon,Michael Bay,1618.5,154,Action
Cowboys & Aliens,Jon Favreau,1352.9,119,Action
The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,913.0,117,Adventure
Conan the Barbarian,Marcus Nispel,747.0,113,Action
Cars 2,John Lasseter,1660.0,106,Animation
Rango,Gore Verbinski,1120.5,107,Animation
Melancholia,Lars von Trier,61.42,135,Drama
Source Code,Duncan Jones,265.6,93,Action
Real Steel,Shawn Levy,913.0,127,Action
Horrible Bosses,Seth Gordon,290.5,98,Comedy
Rio,Carlos Saldanha,747.0,96,Animation
Sherlock Holmes: A Game of Shadows,Guy Ritchie,1037.5,129,Action
The Three Musketeers,Paul W.S. Anderson,622.5,110,Action
Tower Heist,Brett Ratner,622.5,104,Action
Paul,Greg Mottola,332.0,104,Adventure
We Bought a Zoo,Cameron Crowe,415.0,124,Comedy
Rise of the Planet of the Apes,Rupert Wyatt,771.9,105,Action
Your Highness,David Gordon Green,414.17,102,Adventure
The Lincoln Lawyer,Brad Furman,332.0,118,Crime
Colombiana,Olivier Megaton,332.0,108,Action
Larry Crowne,Tom Hanks,249.0,98,Comedy
Abduction,John Singleton,290.5,106,Action
A Separation,Asghar Farhadi,4.15,123,Drama
Hugo,Martin Scorsese,1245.0,126,Drama
The Adjustment Bureau,George Nolfi,416.66,106,Romance
The Tree of Life,Terrence Malick,265.6,139,Drama
Killer Joe,William Friedkin,91.3,102,Crime
Kill the Irishman,Jonathan Hensleigh,99.6,106,Biography
War Horse,Steven Spielberg,547.8,146,Action
The Change-Up,David Dobkin,431.6,112,Comedy
The Raid: Redemption,Gareth Evans,9.13,101,Action
Margin Call,J.C. Chandor,29.05,107,Drama
Hanna,Joe Wright,249.0,111,Action
50/50,Jonathan Levine,66.4,100,Comedy
The Descendants,Alexander Payne,166.0,115,Comedy
The Adventures of Tintin,Steven Spielberg,1120.5,107,Animation
The Darkest Hour,Chris Gorak,249.0,89,Action
Final Destination 5,Steven Quale,332.0,92,Action
I Am Number Four,D.J. Caruso,498.0,111,Action
Footloose,Craig Brewer,199.2,113,Comedy
You're Next,Adam Wingard,8.3,95,Horror
The Thing,Matthijs van Heijningen Jr.,315.4,103,Horror
Drive Angry,Patrick Lussier,415.0,104,Action
Jack and Jill,Dennis Dugan,655.7,91,Comedy
Zookeeper,Frank Coraci,664.0,102,Comedy
The Hangover Part II,Todd Phillips,664.0,102,Comedy
Hall Pass,Bobby Farrelly,298.8,105,Comedy
The Best Exotic Marigold Hotel,John Madden,83.0,124,Comedy
The Grey,Joe Carnahan,207.5,117,Action
The Sitter,David Gordon Green,207.5,81,Comedy
Take Me Home Tonight,Michael Dowse,190.9,97,Comedy
The Mechanic,Simon West,332.0,93,Action
Ghost Rider: Spirit of Vengeance,Mark Neveldine,473.1,96,Action
Battle Los Angeles,Jonathan Liebesman,581.0,116,Action
The Green Hornet,Michel Gondry,996.0,119,Action
Killer Elite,Gary McKendry,581.0,116,Action
Shark Night,David R. Ellis,207.5,90,Horror
J. Edgar,Clint Eastwood,290.5,137,Biography
Dream House,Jim Sheridan,415.0,84,Drama
Haywire,Steven Soderbergh,190.9,93,Action
The Muppets,James Bobin,373.5,103,Adventure
The Smurfs,Raja Gosnell,913.0,103,Animation
The Ides of March,George Clooney,103.75,101,Drama
Fright Night,Craig Gillespie,249.0,106,Comedy
Soul Surfer,Sean McNamara,149.4,112,Biography
The Artist,Michel Hazanavicius,124.5,100,Comedy
Water for Elephants,Francis Lawrence,315.4,120,Drama
The Snowtown Murders,Justin Kurzel,16.6,119,Biography
Something Borrowed,Luke Greenfield,290.5,112,Comedy
Priest,Scott Stewart,498.0,87,Action
Johnny English Reborn,Oliver Parker,373.5,101,Action
Bucky Larson: Born to Be a Star,Tom Brady,83.0,97,Comedy
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,174.3,99,Animation
Carnage,Roman Polanski,207.5,80,Comedy
Attack the Block,Joe Cornish,107.9,88,Action
The Guard,John Michael McDonagh,49.8,96,Comedy
Young Adult,Jason Reitman,99.6,94,Comedy
The Devil's Double,Lee Tamahori,158.53,109,Biography
Another Earth,Mike Cahill,0.83,92,Drama
Like Crazy,Drake Doremus,2.08,86,Drama
What's Your Number?,Mark Mylod,166.0,106,Comedy
Gnomeo & Juliet,Kelly Asbury,298.8,84,Animation
Puss in Boots,Chris Miller,1079.0,90,Animation
Beastly,Daniel Barnz,141.1,86,Drama
Bernie,Richard Linklater,41.5,104,Biography
Season of the Witch,Dominic Sena,332.0,95,Action
Silent House,Chris Kentis,16.6,86,Drama
Winnie the Pooh,Stephen J. Anderson,249.0,63,Animation
Hobo with a Shotgun,Jason Eisener,24.9,86,Action
The Eagle,Kevin Macdonald,207.5,114,Action
The Rum Diary,Bruce Robinson,373.5,119,Comedy
Spy Kids 4-D: All the Time in the World,Robert Rodriguez,224.1,89,Animation
The Divide,Xavier Gens,24.9,112,Drama
Red Riding Hood,Catherine Hardwicke,348.6,100,Fantasy
The Roommate,Christian E. Christiansen,132.8,91,Drama
Monte Carlo,Thomas Bezucha,166.0,109,Adventure
The Rite,Mikael HÃ¥fstrÃ¶m,307.1,114,Drama
New Year's Eve,Garry Marshall,464.8,118,Comedy
Sound of My Voice,Zal Batmanglij,1.12,85,Drama
W.E.,Madonna,124.5,119,Drama
Extremely Loud & Incredibly Close,Stephen Daldry,332.0,129,Adventure
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,622.5,87,Animation
Our Idiot Brother,Jesse Peretz,41.5,90,Comedy
Sanctum,Alister Grierson,249.0,108,Action
The Big Year,David Frankel,340.3,100,Comedy
Straw Dogs,Rod Lurie,207.5,110,Action
Red State,Kevin Smith,33.2,88,Action
Trespass,Joel Schumacher,290.5,91,Crime
Machine Gun Preacher,Marc Forster,249.0,129,Action
From Up on Poppy Hill,GorÃ´ Miyazaki,182.6,91,Animation
30 Minutes or Less,Ruben Fleischer,232.4,83,Action
The Iron Lady,Phyllida Lloyd,107.9,105,Biography
Your Sister's Sister,Lynn Shelton,1.04,90,Comedy
Mr. Popper's Penguins,Mark Waters,456.5,94,Comedy
Courageous,Alex Kendrick,16.6,129,Drama
Jin ling shi san chai,Yimou Zhang,780.2,146,Drama
Apollo 18,Gonzalo LÃ³pez-Gallego,41.5,86,Horror
Anonymous,Roland Emmerich,249.0,130,Drama
Hop,Tim Hill,522.9,95,Animation
Atlas Shrugged: Part I,Paul Johansson,166.0,97,Drama
Happy Feet Two,George Miller,1120.5,100,Animation
The Beaver,Jodie Foster,174.3,91,Drama
Rockstar,Imtiaz Ali,90.64,159,Drama
"Big Mommas: Like Father, Like Son",John Whitesell,265.6,107,Action
The Dilemma,Ron Howard,581.0,111,Comedy
Dolphin Tale,Charles Martin Smith,307.1,113,Drama
The Avengers,Joss Whedon,1826.0,143,Action
Django Unchained,Quentin Tarantino,830.0,165,Drama
The Hobbit: An Unexpected Journey,Peter Jackson,1494.0,169,Adventure
The Hunger Games,Gary Ross,647.4,142,Action
The Dark Knight Rises,Christopher Nolan,2075.0,164,Action
Pitch Perfect,Jason Moore,141.1,112,Comedy
This Is 40,Judd Apatow,290.5,134,Comedy
The Hunt,Thomas Vinterberg,31.54,115,Drama
Prometheus,Ridley Scott,1079.0,124,Adventure
Moonrise Kingdom,Wes Anderson,132.8,94,Comedy
The Impossible,J.A. Bayona,373.5,114,Drama
Argo,Ben Affleck,369.35,120,Biography
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,996.0,115,Adventure
Jack Reacher,Christopher McQuarrie,498.0,130,Action
Zero Dark Thirty,Kathryn Bigelow,332.0,157,Drama
Cloud Atlas,Tom Tykwer,846.6,172,Action
Skyfall,Sam Mendes,1660.0,143,Action
The Perks of Being a Wallflower,Stephen Chbosky,107.9,103,Drama
The Amazing Spider-Man,Marc Webb,1909.0,136,Action
Les MisÃ©rables,Tom Hooper,506.3,158,Drama
Silver Linings Playbook,David O. Russell,174.3,122,Comedy
Snow White and the Huntsman,Rupert Sanders,1411.0,127,Action
The Master,Paul Thomas Anderson,265.6,138,Drama
Looper,Rian Johnson,249.0,113,Action
Killing Them Softly,Andrew Dominik,124.5,97,Crime
Flight,Robert Zemeckis,257.3,138,Drama
21 Jump Street,Phil Lord,348.6,109,Action
Ted,Seth MacFarlane,415.0,106,Comedy
Sinister,Scott Derrickson,24.9,110,Horror
This Means War,McG,539.5,103,Action
That's My Boy,Sean Anders,581.0,116,Comedy
Lincoln,Steven Spielberg,539.5,150,Biography
Brave,Mark Andrews,1535.5,93,Animation
The Place Beyond the Pines,Derek Cianfrance,124.5,140,Crime
Dredd,Pete Travis,415.0,95,Action
Dark Shadows,Tim Burton,1245.0,113,Comedy
John Carter,Andrew Stanton,2075.0,132,Action
Battleship,Peter Berg,1734.7,131,Action
Magic Mike,Steven Soderbergh,58.1,110,Comedy
Hotel Transylvania,Genndy Tartakovsky,705.5,91,Animation
Lawless,John Hillcoat,215.8,116,Crime
Spring Breakers,Harmony Korine,41.5,94,Crime
Underworld: Awakening,MÃ¥ns MÃ¥rlind,581.0,88,Action
Piranha 3DD,John Gulager,41.5,83,Comedy
Safe House,Daniel Espinosa,705.5,115,Action
Seeking a Friend for the End of the World,Lorene Scafaria,83.0,101,Adventure
The Bourne Legacy,Tony Gilroy,1037.5,135,Action
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,572.7,105,Action
Wreck-It Ralph,Rich Moore,1369.5,101,Animation
Total Recall,Len Wiseman,1037.5,118,Action
Project X,Nima Nourizadeh,99.6,88,Comedy
American Reunion,Jon Hurwitz,415.0,113,Comedy
Savages,Oliver Stone,373.5,131,Crime
Life of Pi,Ang Lee,996.0,127,Adventure
Anna Karenina,Joe Wright,336.98,129,Drama
Resident Evil: Retribution,Paul W.S. Anderson,539.5,95,Action
Men in Black 3,Barry Sonnenfeld,1867.5,106,Action
Journey 2: The Mysterious Island,Brad Peyton,655.7,94,Action
Seven Psychopaths,Martin McDonagh,124.5,110,Comedy
Rock of Ages,Adam Shankman,622.5,123,Comedy
The Dictator,Larry Charles,539.5,83,Comedy
The Watch,Akiva Schaffer,564.4,102,Comedy
The Expendables 2,Simon West,830.0,103,Action
Safety Not Guaranteed,Colin Trevorrow,6.22,86,Comedy
Chronicle,Josh Trank,99.6,84,Adventure
Red Dawn,Dan Bradley,539.5,93,Action
End of Watch,David Ayer,58.1,109,Action
Wrath of the Titans,Jonathan Liebesman,1245.0,99,Action
Mud,Jeff Nichols,83.0,130,Drama
The Lorax,Chris Renaud,581.0,86,Animation
Man on a Ledge,Asger Leth,348.6,102,Action
Diary of a Wimpy Kid: Dog Days,David Bowers,182.6,94,Animation
The Lucky One,Scott Hicks,207.5,101,Drama
Rise of the Guardians,Peter Ramsey,1203.5,97,Animation
The Iceman,Ariel Vromen,83.0,106,Biography
Maniac,Franck Khalfoun,49.8,89,Horror
Madagascar 3: Europe's Most Wanted,Eric Darnell,1203.5,93,Animation
The Five-Year Engagement,Nicholas Stoller,249.0,124,Comedy
House at the End of the Street,Mark Tonderai,83.0,101,Drama
The Sessions,Ben Lewin,8.3,95,Biography
The Woman in Black,James Watkins,141.1,95,Drama
The Three Stooges,Bobby Farrelly,249.0,92,Comedy
Think Like a Man,Tim Story,99.6,122,Comedy
The Vow,Michael Sucsy,249.0,104,Drama
Taken 2,Olivier Megaton,373.5,92,Action
Compliance,Craig Zobel,2.24,90,Crime
The Company You Keep,Robert Redford,16.6,125,Drama
Hit and Run,David Palmer,16.6,100,Action
Act of Valor,Mike McCoy,99.6,110,Action
Passion,Brian De Palma,166.0,102,Adventure
On the Road,Walter Salles,207.5,124,Adventure
Bullet to the Head,Walter Hill,373.5,92,Action
LOL,Lisa Azuelos,91.3,97,Comedy
The First Time,Jonathan Kasdan,16.6,95,Comedy
Ice Age: Continental Drift,Steve Martino,788.5,88,Animation
No One Lives,RyÃ»hei Kitamura,24.07,86,Horror
Mirror Mirror,Tarsem Singh,705.5,106,Adventure
About Cherry,Stephen Elliott,20.75,98,Drama
Hitchcock,Sacha Gervasi,130.31,98,Biography
The Lords of Salem,Rob Zombie,12.45,101,Horror
Step Up Revolution,Scott Speer,273.9,99,Drama
Ruby Sparks,Jonathan Dayton,66.4,104,Comedy
The Paperboy,Lee Daniels,103.75,107,Crime
The Possession,Ole Bornedal,116.2,92,Horror
Silent Hill: Revelation,M.J. Bassett,166.0,95,Action
Safe,Boaz Yakin,249.0,94,Action
The Brass Teapot,Ramaa Mosley,7.47,101,Comedy
Alex Cross,Rob Cohen,290.5,101,Action
Amour,Michael Haneke,73.87,127,Drama
What to Expect When You're Expecting,Kirk Jones,332.0,110,Comedy
Trouble with the Curve,Robert Lorenz,249.0,111,Drama
Here Comes the Boom,Frank Coraci,348.6,105,Action
The Collection,Marcus Dunstan,62.25,82,Horror
ParaNorman,Chris Butler,498.0,92,Animation
Contraband,Baltasar KormÃ¡kur,207.5,109,Action
Arbitrage,Nicholas Jarecki,99.6,107,Drama
The Man with the Iron Fists,RZA,124.5,95,Action
Cosmopolis,David Cronenberg,170.15,109,Crime
The Campaign,Jay Roach,788.5,85,Comedy
Frankenweenie,Tim Burton,323.7,87,Animation
The Guilt Trip,Anne Fletcher,332.0,95,Comedy
Stand Up Guys,Fisher Stevens,124.5,95,Comedy
Deadfall,Stefan Ruzowitzky,99.6,95,Crime
The Words,Brian Klugman,49.8,102,Drama
Universal Soldier: Day of Reckoning,John Hyams,83.0,114,Action
Promised Land,Gus Van Sant,124.5,106,Drama
Beasts of the Southern Wild,Benh Zeitlin,14.94,93,Adventure
Red Tails,Anthony Hemingway,481.4,125,Action
The Cold Light of Day,Mabrouk El Mechri,166.0,93,Action
The Apparition,Todd Lincoln,141.1,82,Horror
Lockout,James Mather,166.0,95,Action
Chasing Mavericks,Michael Apted,166.0,116,Biography
Bachelorette,Leslye Headland,24.9,87,Comedy
Lay the Favorite,Stephen Frears,218.71,94,Comedy
Parental Guidance,Andy Fickman,207.5,105,Comedy
The Raven,James McTeigue,215.8,110,Crime
Liberal Arts,Josh Radnor,16.6,97,Comedy
Stolen,Simon West,290.5,96,Action
Kon-Tiki,Joachim RÃ¸nning,137.78,118,Adventure
Paranormal Activity 4,Henry Joost,41.5,88,Horror
Quartet,Dustin Hoffman,91.3,98,Comedy
Playing for Keeps,Gabriele Muccino,290.5,105,Comedy
Upside Down,Juan Solanas,498.0,109,Drama
The Odd Life of Timothy Green,Peter Hedges,207.5,105,Comedy
Premium Rush,David Koepp,290.5,91,Action
Not Fade Away,David Chase,166.0,112,Drama
Disconnect,Henry Alex Rubin,83.0,115,Drama
The Pirates! Band of Misfits,Peter Lord,456.5,88,Animation
Chernobyl Diaries,Bradley Parker,8.3,86,Horror
Talaash,Reema Kagti,61.38,140,Crime
Hope Springs,David Frankel,249.0,100,Comedy
People Like Us,Alex Kurtzman,132.8,114,Comedy
Vamps,Amy Heckerling,132.8,92,Comedy
A Thousand Words,Brian Robbins,332.0,91,Comedy
Escape from Planet Earth,Cal Brunker,332.0,89,Animation
"For a Good Time, Call...",Jamie Travis,7.05,85,Comedy
Big Miracle,Ken Kwapis,332.0,107,Biography
What Maisie Knew,Scott McGehee,49.8,99,Drama
The Devil Inside,William Brent Bell,8.3,83,Horror
Cocktail,Homi Adajania,66.23,146,Comedy
Fun Size,Josh Schwartz,116.2,86,Adventure
Robot & Frank,Jake Schreier,20.75,89,Comedy
The Wolf of Wall Street,Martin Scorsese,830.0,180,Biography
Iron Man 3,Shane Black,1660.0,130,Action
The Conjuring,James Wan,166.0,112,Horror
Prisoners,Denis Villeneuve,381.8,153,Crime
Thor: The Dark World,Alan Taylor,1411.0,112,Action
The Purge,James DeMonaco,24.9,85,Horror
Grown Ups 2,Dennis Dugan,664.0,101,Comedy
Fast & Furious 6,Justin Lin,1328.0,130,Action
Gravity,Alfonso CuarÃ³n,830.0,91,Drama
About Time,Richard Curtis,99.6,123,Comedy
The Hobbit: The Desolation of Smaug,Peter Jackson,1867.5,161,Adventure
Man of Steel,Zack Snyder,1867.5,143,Action
Under the Skin,Jonathan Glazer,110.39,108,Drama
Only Lovers Left Alive,Jim Jarmusch,58.1,123,Comedy
Her,Spike Jonze,190.9,126,Drama
Snowpiercer,Bong Joon Ho,325.36,126,Action
We're the Millers,Rawson Marshall Thurber,307.1,110,Comedy
Kick-Ass 2,Jeff Wadlow,232.4,103,Action
Frozen,Chris Buck,1245.0,102,Animation
The Great Gatsby,Baz Luhrmann,871.5,143,Drama
American Hustle,David O. Russell,332.0,138,Crime
The Green Inferno,Eli Roth,41.5,100,Adventure
Rush,Ron Howard,315.4,123,Action
Monsters University,Dan Scanlon,1660.0,104,Animation
Don Jon,Joseph Gordon-Levitt,24.9,90,Comedy
Now You See Me,Louis Leterrier,622.5,115,Crime
Oblivion,Joseph Kosinski,996.0,124,Action
Identity Thief,Seth Gordon,290.5,111,Comedy
Star Trek Into Darkness,J.J. Abrams,1577.0,132,Action
The Hunger Games: Catching Fire,Francis Lawrence,1079.0,146,Action
Homefront,Gary Fleder,182.6,100,Action
Movie 43,Directors,49.8,94,Comedy
World War Z,Marc Forster,1577.0,116,Action
12 Years a Slave,Steve McQueen,166.0,134,Biography
G.I. Joe: Retaliation,Jon M. Chu,1079.0,110,Action
Dallas Buyers Club,Jean-Marc VallÃ©e,41.5,117,Biography
The Secret Life of Walter Mitty,Ben Stiller,747.0,114,Adventure
Pacific Rim,Guillermo del Toro,1577.0,131,Action
The Croods,Kirk DeMicco,1120.5,98,Animation
This Is the End,Evan Goldberg,265.6,107,Comedy
The Way Way Back,Nat Faxon,41.5,103,Comedy
The Internship,Shawn Levy,481.4,119,Comedy
Elysium,Neill Blomkamp,954.5,109,Action
Hansel & Gretel: Witch Hunters,Tommy Wirkola,415.0,88,Action
Captain Phillips,Paul Greengrass,456.5,134,Adventure
Evil Dead,Fede Alvarez,141.1,91,Horror
White House Down,Roland Emmerich,1245.0,131,Action
Olympus Has Fallen,Antoine Fuqua,581.0,119,Action
Lone Survivor,Peter Berg,332.0,121,Action
Oz the Great and Powerful,Sam Raimi,1784.5,130,Adventure
Pain & Gain,Michael Bay,215.8,129,Action
Oldboy,Spike Lee,249.0,104,Action
Out of the Furnace,Scott Cooper,182.6,116,Action
Coherence,James Ward Byrkit,0.41,89,Drama
Ender's Game,Gavin Hood,913.0,114,Action
Anchorman 2: the Legend Continues,Adam McKay,415.0,119,Comedy
The World's End,Edgar Wright,166.0,109,Comedy
Stoker,Park Chan-Wook,99.6,99,Drama
The Mortal Instruments: City of Bones,Harald Zwart,498.0,130,Action
Mama,Andy Muschietti,124.5,100,Fantasy
Riddick,David Twohy,315.4,119,Action
A Good Day to Die Hard,John Moore,763.6,98,Action
Escape Plan,Mikael HÃ¥fstrÃ¶m,415.0,115,Action
The Wolverine,James Mangold,996.0,126,Action
Texas Chainsaw,John Luessenhop,166.0,92,Horror
Despicable Me 2,Pierre Coffin,630.8,98,Animation
47 Ronin,Carl Rinsch,1452.5,128,Action
Adore,Anne Fontaine,132.8,112,Drama
Machete Kills,Robert Rodriguez,166.0,107,Action
Warm Bodies,Jonathan Levine,290.5,98,Comedy
Percy Jackson: Sea of Monsters,Thor Freudenthal,747.0,106,Adventure
Blue Jasmine,Woody Allen,149.4,98,Comedy
Safe Haven,Lasse HallstrÃ¶m,232.4,115,Drama
Gangster Squad,Ruben Fleischer,498.0,113,Action
August: Osage County,John Wells,207.5,121,Comedy
Locke,Steven Knight,16.6,85,Drama
Before Midnight,Richard Linklater,24.9,109,Drama
Begin Again,John Carney,66.4,104,Comedy
Oculus,Mike Flanagan,41.5,104,Horror
The Counselor,Ridley Scott,207.5,117,Crime
Parker,Taylor Hackford,290.5,118,Action
The Call,Brad Anderson,107.9,94,Crime
Scary Movie V,Malcolm D. Lee,166.0,86,Comedy
R.I.P.D.,Robert Schwentke,1079.0,96,Action
Inside Llewyn Davis,Ethan Coen,91.3,104,Comedy
The To Do List,Maggie Carey,12.45,104,Comedy
Carrie,Kimberly Peirce,249.0,100,Drama
